flight,deptime,depoff,arrtime,arroff,origin,destination
AA0812,1500,-1000,2259,-700,PHH,TKD
AA0820,1800,-700,1950,-700,TNG,TFB
AA0820,900,-1000,1703,-700,PHH,TNG
AA0821,1915,-700,2138,-1000,TNG,PHH
AA0821,1600,-700,1745,-700,TFB,TNG
AA0823,940,-700,1158,-1000,PBL,LPB
AA0825,705,-700,946,-1000,TBO,PHH
AA0828,1305,-1000,2111,-700,LPB,PBL
AA0830,1130,-1000,2005,-700,IOM,QEY
AA0835,920,-700,1145,-1000,PBL,IOM
AA0836,1405,-1000,2205,-700,IOM,PBL
AA0837,950,-700,1215,-1000,TKD,IOM
AA0838,1245,-1000,2045,-700,IOM,TKD
AA0841,810,-700,1026,-1000,PBL,PHH
AA0843,1020,-700,1330,-1000,TFB,LPB
AA0845,1545,-700,1845,-1000,CMJ,IOM
AA0846,1230,-1000,2047,-700,MJI,PBL
AA0848,1345,-1000,2152,-700,MJI,TKD
AA0850,1230,-1000,2031,-700,PHH,PBL
AA0851,1110,-700,1418,-1000,TFB,IOM
AA0852,1314,-1000,2200,-700,IOM,TFB
AA0854,1050,-1000,1925,-700,MJI,TFB
AA0858,1130,-1000,2003,-700,PHH,TFB
AA0859,1850,-700,2156,-1000,TFB,IOM
AA0860,2135,-1000,620,-700,IOM,TFB
AA0861,1105,-700,1400,-1000,QEY,PHH
AA0862,1050,-1000,1913,-700,PHH,QEY
AA0865,855,-700,1130,-1000,TKD,MJI
AA0867,1720,-700,2022,-1000,TFB,PHH
AA0870,1410,-800,1815,-1000,BOD,IOM
AA0871,2055,-1000,500,-800,IOM,BOD
AA0875,935,-700,1245,-1000,TFB,MJI
AA0877,730,-700,1026,-1000,QEY,IOM
AA0878,2125,-1000,558,-700,PHH,TFB
AA0879,720,-700,950,-1000,PBL,MJI
AA0890,1345,-1000,2204,-700,PHH,TBO
AA0891,1000,-700,1304,-1000,TBO,IOM
AA0892,1520,-1000,2355,-700,IOM,TBO
AA0893,740,-700,959,-1000,TKD,LPB
AA0894,1430,-1000,2236,-700,LPB,TKD
AA0895,1020,-700,1245,-1000,TKD,PHH
AA3294,1230,-800,1530,-800,BOD,EVU
AA3295,1615,-800,1915,-800,EVU,BOD
AA3296,1400,-800,1700,-800,BOD,EVU
AA3297,1745,-800,2045,-800,EVU,BOD
AA3298,935,-800,1235,-800,BOD,EVU
AA3299,1320,-800,1620,-800,EVU,BOD
AA3451,700,-700,915,-700,CVS,QEY
AA3452,955,-700,1200,-700,QEY,CVS
AA3453,1230,-700,1444,-700,CVS,QEY
AA3454,1415,-700,1621,-700,QEY,CVS
AA3455,1700,-700,1916,-700,CVS,QEY
AA3460,700,-700,910,-700,QEY,POU
AA3461,700,-700,925,-700,POU,QEY
AA3462,1525,-700,1736,-700,QEY,POU
AA3463,945,-700,1159,-700,POU,QEY
AA3464,1955,-700,2211,-700,QEY,POU
AA3465,1810,-700,2024,-700,POU,QEY
AA3472,700,-700,935,-700,TFB,MHC
AA3473,1005,-700,1248,-700,MHC,TFB
AA3474,1320,-700,1600,-700,TFB,MHC
AA3475,1630,-700,1911,-700,MHC,TFB
AA3476,1640,-700,1917,-700,TFB,MHC
AA3477,1950,-700,2231,-700,MHC,TFB
AA3478,1240,-700,1500,-700,QEY,MHC
AA3479,1700,-700,1925,-700,MHC,QEY
AA3481,1335,-700,1607,-700,TCB,TFB
AA3482,1035,-700,1259,-700,TFB,TCB
AA3488,1950,-700,2158,-700,QEY,CVS
AA3490,1945,-700,2149,-700,TFB,GBU
AA3491,750,-700,1005,-700,GBU,TFB
BA2001,1820,-700,1900,-700,ZLN,TFB
BA2002,1710,-700,1749,-700,TFB,ZLN
BA2011,1022,-700,1145,-700,TFB,NGS
BA2014,1030,-700,1120,-700,QEY,TFB
BA2015,1205,-700,1253,-700,TFB,QEY
BA2018,1130,-700,1221,-700,QEY,TFB
BA2019,2100,-700,2142,-700,QEY,SEN
BA2024,1345,-700,1433,-700,TFB,ZWS
BA2026,1700,-700,1747,-700,QEY,TFB
BA2033,1145,-700,1235,-700,ZWS,TFB
BA2034,745,-700,828,-700,SEN,QEY
BA2039,1000,-700,1051,-700,TFB,QEY
BA2040,1545,-700,1625,-700,FVH,QEY
BA2042,2000,-700,2050,-700,QEY,TFB
BA2043,1300,-700,1350,-700,TFB,QEY
BA2044,1500,-700,1547,-700,QEY,TFB
BA2045,2000,-700,2049,-700,TFB,QEY
BA2046,1730,-700,1817,-700,QEY,TFB
BA2047,1900,-700,1949,-700,TFB,QEY
BA2048,700,-700,807,-700,QEY,HFH
BA2049,1255,-700,1407,-700,HFH,QEY
BA2051,1100,-700,1151,-700,TFB,QEY
BA2052,1830,-700,1920,-700,QEY,TFB
BA2055,2030,-700,2119,-700,TFB,QEY
BA2056,2030,-700,2120,-700,QEY,TFB
BA2057,1700,-700,1750,-700,TFB,QEY
BA2061,1600,-700,1649,-700,TFB,QEY
BA2064,1658,-700,1738,-700,TFB,FBU
BA2068,1330,-700,1419,-700,QEY,TFB
BA2069,1810,-700,1851,-700,FBU,TFB
BA2071,700,-700,822,-700,TKD,MBY
BA2076,1755,-700,1915,-700,MBY,TKD
BA2077,1946,-700,2109,-700,TKD,MBY
BA2078,2150,-700,2311,-700,MBY,TKD
BA2079,1430,-700,1529,-700,BMX,TFB
BA2081,1156,-700,1235,-700,QEY,FVH
BA2082,1554,-700,1635,-700,SEN,QEY
BA2083,1440,-700,1524,-700,QEY,SEN
BA2086,1955,-700,2049,-700,TFB,BMX
BA2087,650,-700,749,-700,BMX,TFB
BA2091,2100,-700,2159,-700,QEY,NGS
BA2092,630,-700,719,-700,QEY,TFB
BA2092,500,-700,558,-700,NGS,QEY
BA2093,1725,-700,1824,-700,QEY,NGS
BA2094,1855,-700,1954,-700,NGS,QEY
BA2095,1230,-700,1329,-700,QEY,NGS
BA2096,1300,-700,1359,-700,TFB,BMX
BA2098,1400,-700,1457,-700,NGS,QEY
BA2100,2240,-700,2328,-700,TFB,QTD
BA2101,600,-700,652,-700,QTD,TFB
BA2102,745,-700,835,-700,TFB,QTD
BA2103,905,-700,957,-700,QTD,TFB
BA2104,1005,-700,1055,-700,TFB,QTD
BA2105,1125,-700,1217,-700,QTD,TFB
BA2106,1335,-700,1428,-700,TFB,QTD
BA2107,1500,-700,1552,-700,QTD,TFB
BA2108,1610,-700,1700,-700,TFB,QTD
BA2109,1730,-700,1822,-700,QTD,TFB
BA2110,1835,-700,1924,-700,TFB,QTD
BA2111,1955,-700,2046,-700,QTD,TFB
BA2114,2038,-700,2323,-600,TFB,ZZD
BA2115,630,-600,719,-700,ZZD,TFB
BA2116,910,-700,1156,-600,TFB,ZZD
BA2117,1240,-600,1328,-700,ZZD,TFB
BA2118,1420,-700,1705,-600,TFB,ZZD
BA2119,1745,-600,1834,-700,ZZD,TFB
BA2121,730,-700,821,-700,TFB,QEY
BA2129,800,-700,850,-700,TFB,QEY
BA2130,1900,-700,1950,-700,QEY,TFB
BA2132,1600,-700,1649,-700,QEY,TFB
BA2133,1540,-600,1611,-700,CPJ,TFB
BA2134,2255,-700,2336,-700,TFB,FBU
BA2135,2130,-700,2217,-700,TFB,QEY
BA2136,710,-700,933,-600,TFB,CPJ
BA2138,2100,-700,2159,-700,TFB,HFH
BA2140,1633,-700,1900,-600,TFB,CPJ
BA2142,1740,-700,2007,-600,TFB,CPJ
BA2148,1240,-700,1510,-600,TFB,CPJ
BA2151,1500,-700,1551,-700,TFB,QEY
BA2155,600,-700,641,-700,FBU,TFB
BA2158,950,-700,1029,-700,TFB,FBU
BA2159,1105,-700,1149,-700,FBU,TFB
BA2162,1630,-700,1719,-700,QEY,TFB
BA2167,1205,-700,1329,-700,TKD,QTQ
BA2167,920,-700,1128,-700,QEY,TKD
BA2168,1620,-700,1821,-700,TKD,QEY
BA2168,1405,-700,1541,-700,QTQ,TKD
BA2170,1430,-700,1519,-700,QEY,TFB
BA2172,930,-700,1019,-700,QEY,TFB
BA2174,2130,-700,2221,-700,QEY,TFB
BA2175,2300,-700,2345,-700,TFB,QEY
BA2179,1725,-700,1824,-700,TFB,SEN
BA2181,1400,-700,1452,-700,TFB,QEY
BA2192,1800,-700,1858,-700,TFB,HFH
BA2193,1930,-700,2034,-700,HFH,TFB
BA2196,1537,-700,1648,-700,MBY,NNI
BA2199,1718,-700,1832,-700,NNI,MBY
BA2202,945,-700,1023,-700,TFB,ZLN
BA2203,1055,-700,1137,-700,ZLN,TFB
BA2204,2300,-700,2353,-700,TFB,ZWS
BA2207,600,-700,640,-700,ZLN,TFB
BA2208,2255,-700,2335,-700,TFB,ZLN
BA2213,1755,-700,1902,-700,QVX,TFB
BA2214,2216,-700,2317,-700,TFB,QVX
BA2214,2337,-700,2358,-700,QVX,MXT
BA2215,600,-700,622,-700,MXT,QVX
BA2215,645,-700,753,-700,QVX,TFB
BA2216,945,-700,1050,-700,TFB,QVX
BA2217,1420,-700,1524,-700,TFB,MXT
BA2217,1555,-700,1745,-600,MXT,CPJ
BA2218,1845,-700,1955,-700,MXT,TFB
BA2218,1823,-600,1815,-700,CPJ,MXT
BA2219,1120,-700,1228,-700,QVX,TFB
BA2220,1620,-700,1725,-700,TFB,QVX
BA2222,1155,-700,1259,-700,SEN,TFB
BA2223,1536,-700,1753,-600,QEY,CPJ
BA2225,1900,-700,2004,-700,HFH,TFB
BA2227,620,-700,710,-700,ZWS,TFB
BA2231,1630,-600,1700,-700,CPJ,TFB
BA2232,2140,-700,2250,-700,QEY,ZWS
BA2233,1635,-700,1726,-700,ZWS,TFB
BA2234,1000,-700,1100,-700,TFB,HFH
BA2235,1130,-700,1234,-700,HFH,TFB
BA2236,1310,-700,1350,-700,SEN,QEY
BA2237,1250,-600,1321,-700,CPJ,TFB
BA2239,1930,-600,2003,-700,CPJ,TFB
BA2241,1530,-700,1634,-700,HFH,TFB
BA2242,1845,-700,1933,-700,TFB,ZWS
BA2243,2009,-700,2100,-700,ZWS,TFB
BA2246,730,-700,822,-700,QEY,TFB
BA2248,1700,-700,1759,-700,TFB,HFH
BA2249,1830,-700,1937,-700,HFH,TFB
BA2250,705,-700,910,-700,SOP,TFB
BA2255,1915,-700,2112,-700,TFB,SOP
BA2259,1500,-700,1700,-700,TFB,SOP
BA2264,720,-700,812,-700,TFB,ZWS
BA2265,850,-700,940,-700,ZWS,TFB
BA2266,1045,-700,1137,-700,TFB,ZWS
BA2267,1230,-700,1321,-700,ZWS,TFB
BA2268,2130,-700,2354,-600,TFB,CPJ
BA2269,645,-600,721,-700,CPJ,TFB
BA2270,1900,-700,1959,-700,TFB,HFH
BA2273,1025,-700,1123,-700,TFB,SEN
BA2278,1855,-700,1958,-700,SEN,TFB
BA2280,650,-700,752,-700,FVH,TFB
BA2281,2255,-700,2355,-700,TFB,FVH
BA2284,1325,-700,1550,-600,TFB,GDB
BA2285,1620,-600,1650,-700,GDB,TFB
BA2288,2135,-700,2356,-600,TFB,GDB
BA2289,600,-600,630,-700,GDB,TFB
BA2294,605,-700,708,-700,SEN,TFB
BA2295,825,-700,927,-700,TFB,FVH
BA2296,1000,-700,1106,-700,FVH,TFB
BA2297,2225,-700,2326,-700,TFB,SEN
BA2298,1854,-700,1957,-700,FVH,TFB
BA2299,1720,-700,1822,-700,TFB,FVH
BA2301,1830,-600,1850,-700,CPJ,QEY
BA2302,2045,-700,2351,-600,TFB,CJM
BA2311,635,-700,855,-600,QEY,CPJ
BA2314,1510,-700,1559,-700,TFB,ZWS
BA2321,620,-600,651,-600,IMO,HUG
BA2321,715,-600,806,-700,HUG,TFB
BA2324,2025,-700,2306,-600,TFB,HUG
BA2324,2326,-600,2357,-600,HUG,IMO
BA2325,1156,-700,1236,-700,QEY,SEN
BA2326,1530,-600,1620,-700,IMO,TFB
BA2326,1115,-700,1357,-600,TFB,HUG
BA2326,1427,-600,1456,-600,HUG,IMO
BA2327,1030,-700,1135,-700,HFH,TFB
BA2328,930,-700,1029,-700,NGS,QEY
BA2329,800,-700,859,-700,QEY,NGS
BA2331,1230,-700,1334,-700,HFH,TFB
BA2332,1100,-700,1200,-700,TFB,HFH
BA2338,520,-700,600,-700,FVH,QEY
BA2339,2040,-700,2117,-700,QEY,FVH
BA2340,2135,-700,2359,-600,TFB,NTP
BA2347,700,-600,730,-700,NTP,TFB
BA2348,1030,-700,1255,-600,TFB,NTP
BA2349,1325,-600,1354,-700,NTP,TFB
BA2350,1115,-700,1225,-700,QEY,HFH
BA2351,610,-700,725,-700,HFH,QEY
BA2352,900,-700,1007,-700,QEY,HFH
BA2353,840,-700,953,-700,HFH,QEY
BA2354,1350,-700,1456,-700,QEY,HFH
BA2355,1526,-700,1639,-700,HFH,QEY
BA2356,1715,-700,1825,-700,QEY,HFH
BA2357,1855,-700,2008,-700,HFH,QEY
BA2358,2100,-700,2208,-700,QEY,HFH
BA2359,1040,-700,1153,-700,HFH,QEY
BA2363,1735,-600,1810,-700,CPJ,TFB
BA2368,1815,-700,2042,-600,TFB,CPJ
BA2369,830,-700,934,-700,HFH,TFB
BA2370,1440,-700,1641,-700,TKD,QEY
BA2371,500,-700,604,-700,HFH,TFB
BA2372,700,-700,800,-700,TFB,HFH
BA2377,1205,-700,1409,-700,QEY,TKD
BA2378,900,-700,1000,-700,TFB,HFH
BA2380,2300,-700,2342,-700,TFB,ZZK
BA2381,600,-700,640,-700,ZZK,TFB
BA2382,745,-700,829,-700,TFB,ZZK
BA2383,905,-700,945,-700,ZZK,TFB
BA2384,1100,-700,1145,-700,TFB,ZZK
BA2385,1220,-700,1301,-700,ZZK,TFB
BA2386,1420,-700,1504,-700,TFB,ZZK
BA2387,1540,-700,1620,-700,ZZK,TFB
BA2388,1732,-700,1815,-700,TFB,ZZK
BA2389,1850,-700,1930,-700,ZZK,TFB
BA2390,950,-700,1219,-600,TFB,CPJ
BA2391,925,-600,957,-700,CPJ,TFB
BA2392,800,-700,900,-700,TFB,HFH
BA2393,930,-700,1034,-700,HFH,TFB
BA2396,1630,-700,1855,-600,TFB,NTP
BA2397,1925,-600,1954,-700,NTP,TFB
BA2399,2100,-600,2133,-700,CPJ,TFB
BA2400,1217,-700,1523,-600,TFB,CJM
BA2401,1558,-600,1720,-700,CJM,TFB
BA2403,930,-700,1052,-700,TKD,MBY
BA2403,800,-600,855,-700,CPJ,TKD
BA2404,1110,-700,1352,-600,TKD,CPJ
BA2404,915,-700,1035,-700,MBY,TKD
BA2405,1215,-600,1253,-700,CPJ,TNG
BA2408,1200,-700,1252,-700,TFB,ZWS
BA2409,1330,-700,1420,-700,ZWS,TFB
BA2410,1600,-700,1700,-700,TFB,HFH
BA2411,1730,-700,1834,-700,HFH,TFB
BA2412,1323,-700,1555,-600,TNG,CPJ
BA2420,2020,-700,2229,-700,MBY,NGS
BA2422,1005,-600,1028,-700,CPJ,QEY
BA2426,1435,-700,1704,-600,TFB,CPJ
BA2428,1215,-700,1337,-700,NGS,TFB
BA2429,600,-700,700,-700,ZMX,TFB
BA2430,2250,-700,2354,-700,TFB,ZMX
BA2433,600,-600,720,-700,CJM,TFB
BA2435,1510,-700,1622,-700,ZWS,QEY
BA2438,1400,-700,1500,-700,TFB,HFH
BA2441,730,-700,930,-700,TFB,SOP
BA2442,1000,-700,1205,-700,SOP,TFB
BA2444,1300,-700,1400,-700,TFB,HFH
BA2445,700,-700,804,-700,HFH,TFB
BA2448,1730,-700,1931,-700,SOP,TFB
BA2450,1000,-700,1110,-700,QEY,ZWS
BA2451,700,-700,813,-700,ZWS,QEY
BA2452,600,-700,722,-700,NGS,TFB
BA2455,700,-600,801,-700,CAO,TFB
BA2459,1550,-600,1650,-700,CAO,TFB
BA2460,1230,-700,1519,-600,TFB,CAO
BA2461,2240,-700,2359,-700,TFB,NGS
BA2462,2025,-700,2314,-600,TFB,CAO
BA2467,630,-700,801,-700,TUT,MBY
BA2472,1915,-700,2049,-700,MBY,TUT
BA2473,955,-700,1139,-700,QEY,TUT
BA2473,830,-700,921,-700,TFB,QEY
BA2473,1212,-700,1355,-700,TUT,MBT
BA2474,1040,-700,1246,-700,TUT,TFB
BA2474,835,-700,1008,-700,MBY,TUT
BA2475,1550,-700,1722,-700,TUT,MBY
BA2475,1310,-700,1520,-700,TFB,TUT
BA2478,1440,-700,1640,-700,MBT,TUT
BA2478,1930,-700,2020,-700,QEY,TFB
BA2478,1710,-700,1852,-700,TUT,QEY
BA2479,1515,-700,1620,-700,ZMX,TFB
BA2483,500,-700,536,-700,CMJ,TFB
BA2484,800,-700,842,-700,TFB,CMJ
BA2485,915,-700,955,-700,CMJ,TFB
BA2486,1147,-700,1227,-700,TFB,CMJ
BA2487,1257,-700,1337,-700,CMJ,TFB
BA2488,1355,-700,1436,-700,TFB,CMJ
BA2489,1510,-700,1550,-700,CMJ,TFB
BA2490,1755,-700,1834,-700,TFB,CMJ
BA2491,1905,-700,1943,-700,CMJ,TFB
BA2492,1950,-700,2028,-700,TFB,CMJ
BA2493,700,-700,740,-700,CMJ,TFB
BA2494,2305,-700,2346,-700,TFB,CMJ
BA2495,1430,-700,1534,-700,HFH,TFB
BA2500,910,-700,1118,-700,TGP,QEY
BA2502,615,-600,642,-700,CPJ,QEY
BA2506,1500,-700,1600,-700,TFB,HFH
BA2509,1630,-700,1733,-700,HFH,TFB
BA2513,925,-700,1144,-600,QEY,CPJ
BA2514,1355,-600,1418,-700,CPJ,QEY
BA2517,1515,-700,1722,-700,QEY,TGP
BA2523,625,-700,835,-700,QEY,TGP
BA2526,940,-700,1123,-700,TNG,QEY
BA2532,1101,-700,1311,-700,GBU,QEY
BA2533,1615,-700,1825,-700,QEY,GBU
BA2534,1855,-700,2127,-700,GBU,TFB
BA2537,1105,-700,1324,-600,QEY,CPJ
BA2538,1500,-600,1524,-700,CPJ,QEY
BA2539,805,-700,1031,-700,TFB,GBU
BA2541,940,-700,1123,-700,QEY,TNG
BA2542,945,-700,1243,-600,TFB,ZFH
BA2543,1323,-600,1420,-700,ZFH,TFB
BA2544,530,-700,619,-700,QEY,TFB
BA2545,700,-700,750,-700,TFB,QEY
BA2546,615,-700,815,-700,TKD,QEY
BA2563,1725,-700,1929,-700,QEY,PBL
BA2565,725,-700,909,-700,QEY,TNG
BA2570,830,-700,919,-700,QEY,TFB
BA2571,630,-700,839,-700,QEY,PBL
BA2573,1800,-700,1851,-700,TFB,QEY
BA2574,2000,-700,2153,-700,PBL,QEY
BA2576,1205,-700,1352,-700,TNG,QEY
BA2579,635,-600,736,-700,ZFH,TFB
BA2580,2038,-700,2334,-600,TFB,ZFH
BA2583,1816,-600,1920,-700,ZFH,TFB
BA2584,1437,-700,1734,-600,TFB,ZFH
BA2589,925,-700,1124,-700,QEY,PBL
BA2593,1955,-700,2215,-600,QEY,CPJ
BA2594,1730,-700,1828,-700,TFB,HFH
BA2603,1000,-700,1340,-600,MBY,MBQ
BA2604,1425,-600,1622,-700,MBQ,MBY
BA2609,1430,-700,1632,-700,QEY,PBL
BA2609,1311,-700,1354,-700,FVH,QEY
BA2610,1705,-700,1900,-700,PBL,QEY
BA2614,1800,-700,2007,-700,TGP,QEY
BA2617,1930,-700,2135,-700,QEY,TKD
BA2618,1705,-700,1848,-700,TNG,QEY
BA2624,1230,-700,1320,-700,QEY,TFB
BA2627,1930,-700,2019,-700,TFB,QEY
BA2629,600,-700,650,-700,TFB,QEY
BA2631,630,-700,721,-700,TFB,QEY
BA2632,1920,-700,2103,-700,TNG,QEY
BA2633,1450,-700,1633,-700,QEY,TNG
BA2634,1300,-700,1506,-700,TGP,QEY
BA2635,900,-700,950,-700,TFB,QEY
BA2635,1020,-700,1225,-700,QEY,TGP
BA2636,910,-700,1107,-700,PBL,QEY
BA2637,940,-700,1210,-700,TFB,PBL
BA2638,1240,-700,1500,-700,PBL,TFB
BA2642,1530,-700,1617,-700,QEY,TFB
BA2644,1432,-700,1512,-700,QEY,FVH
BA2644,1200,-700,1354,-700,PBL,QEY
BA2645,1705,-700,1850,-700,QEY,TNG
BA2670,1335,-700,1435,-700,TFB,ZMX
BA2700,2016,-700,2230,-700,NGS,MBY
AA2701,645,-800,1243,-700,BOD,MBT
AA2702,2355,-1000,935,-700,IOM,CMJ
